"Control-1"	"Control-2"	"Control-3"	"Mock-E"	"Mock-S"	"Negative-H2O"	"Positive-33"	"USVItide-10"	"USVItide-108"	"USVItide-109"	"USVItide-11"	"USVItide-110"	"USVItide-111"	"USVItide-112"	"USVItide-113"	"USVItide-114"	"USVItide-115"	"USVItide-116"	"USVItide-12"	"USVItide-125"	"USVItide-126"	"USVItide-127"	"USVItide-128"	"USVItide-129"	"USVItide-13"	"USVItide-130"	"USVItide-131"	"USVItide-132"	"USVItide-14"	"USVItide-141"	"USVItide-141b"	"USVItide-142"	"USVItide-143"	"USVItide-144"	"USVItide-144b"	"USVItide-145"	"USVItide-146"	"USVItide-146b"	"USVItide-147"	"USVItide-148"	"USVItide-15"	"USVItide-158"	"USVItide-159"	"USVItide-16"	"USVItide-160"	"USVItide-161"	"USVItide-162"	"USVItide-163"	"USVItide-164"	"USVItide-165"	"USVItide-166"	"USVItide-25"	"USVItide-26"	"USVItide-27"	"USVItide-28"	"USVItide-29"	"USVItide-30"	"USVItide-31"	"USVItide-32"	"USVItide-42"	"USVItide-43"	"USVItide-44"	"USVItide-45"	"USVItide-46"	"USVItide-47"	"USVItide-48"	"USVItide-49"	"USVItide-50"	"USVItide-59"	"USVItide-60"	"USVItide-61"	"USVItide-62"	"USVItide-63"	"USVItide-64"	"USVItide-65"	"USVItide-66"	"USVItide-75"	"USVItide-76"	"USVItide-77"	"USVItide-78"	"USVItide-79"	"USVItide-80"	"USVItide-81"	"USVItide-82"	"USVItide-9"	"USVItide-91"	"USVItide-92"	"USVItide-93"	"USVItide-94"	"USVItide-95"	"USVItide-96"	"USVItide-97"	"USVItide-98"
"ASV1"	30	0	31	16	15	0	0	1988	15682	15363	6272	7165	6482	10457	8634	1197	7687	4089	31	4727	4130	7908	2026	3029	4875	898	4554	3056	342	4992	10470	4341	4919	7069	19553	41	1630	3393	456	5061	4301	12574	9686	2618	15367	13184	36362	773	1394	7248	4293	4854	7855	4452	7655	5423	99	5493	3564	11737	5629	9986	12833	308	4559	1952	5722	6979	5269	7610	5456	3746	592	2760	4380	1218	2116	42	3725	9013	356	2663	7965	6269	8346	13230	4376	6741	15180	3759	7331	290	11741
"ASV2"	0	37	0	17	0	0	0	25117	11424	8215	8249	9885	433	10886	5302	1319	3595	163	57	8885	10938	8037	2632	5522	12013	68	338	1499	512	899	1806	1694	1410	1041	2953	0	170	306	22	700	389	1294	1638	15616	1175	337	1173	45	31	425	261	7185	8853	8426	3760	8666	0	1565	238	8454	9572	8528	12066	431	3027	196	504	3510	11995	8346	8759	7651	106	393	15311	1178	13184	45	11377	8341	249	7321	6328	320	9902	8480	12195	21146	8388	3741	1884	41	588
"ASV3"	50	29	34	29	0	0	0	33	3015	1935	3493	2444	12054	1357	8144	3766	8585	14498	791	4032	586	2633	3203	287	1510	5635	14337	10765	3743	1279	3296	311	149	335	660	883	2343	5243	3477	2112	17114	268	730	125	1246	5683	4507	2134	9725	10023	12728	2180	1836	519	9386	1583	3512	6006	13878	3736	1893	3935	827	2164	7088	13451	13246	12015	827	4609	5093	3583	7866	14930	135	7944	66	1310	360	1563	4265	2338	6576	22434	2803	9026	117	200	1304	5220	5241	6280	17575
"ASV4"	0	0	36	21	10	0	0	0	77	43	0	0	31	10	761	13850	8	293	34463	0	17	40	24	0	31	1642	76	4272	17317	29	94	108	12	20	11	15336	6254	12785	14321	1015	73	32	68	0	38	3017	104	17682	28637	7809	23177	293	96	0	28	0	18018	974	115	53	12	62	25	16407	331	684	100	55	20	258	18	12	4722	63	0	7878	9	19980	40	80	13629	35	15	62	137	24	0	0	49	10	3070	12066	36
"ASV5"	34	0	0	0	0	0	122	22	2330	1761	1596	1964	2267	1403	9431	2571	2916	4168	302	3523	686	3193	2734	237	807	867	1928	3741	248	910	2565	361	165	241	691	155	1170	2556	958	1051	4679	234	859	91	666	3053	2142	729	1821	2873	2593	2662	1508	680	3406	1016	2766	4405	6715	3950	1258	4414	690	1265	6242	6242	4003	5238	726	4843	3051	2493	2490	3820	115	3751	55	328	406	1281	394	1855	2852	4772	2412	4728	43	91	940	3555	3868	4575	4169
"ASV6"	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	22	0	228	58926	0	0	0	17	0	70	3173	0	140	231	0	0	0	0	0	0	17394	332	680	0	0	0	0	0	16	0	189	16	182	16	9	20	13	25	0	0	23	14812	0	30	0	0	0	0	51	0	260	59	46	26	33	0	0	13879	41	20	374	15	31680	59	0	206	0	0	93	19	0	0	0	0	0	28	10554	30
"ASV7"	0	35	0	14	0	0	1096	3579	2519	2151	2270	2886	560	3161	1901	397	1455	824	101	2910	2251	2724	952	1559	2309	250	852	846	353	1576	2895	1647	1591	1348	3269	73	369	673	190	962	897	993	1397	3659	1153	1387	2047	127	331	1006	447	2199	2625	2357	1434	3179	109	1182	414	1942	2345	2052	2748	177	1119	537	791	879	3312	1981	2096	2526	294	635	3069	490	3887	118	3532	2060	215	2146	2333	1399	1916	3201	3517	6429	2553	1655	1154	257	1105
"ASV8"	0	0	0	0	0	0	0	7181	3356	2189	2468	2545	143	3053	1427	371	958	67	0	2310	2828	2216	745	1445	3529	0	96	411	123	246	543	443	383	318	838	0	0	0	0	241	119	375	445	4670	292	173	319	0	0	163	0	2152	2591	2424	1131	2612	0	479	72	2371	2834	2445	3470	136	844	0	150	1017	3613	2466	2585	2260	0	121	4425	407	3425	0	3025	2400	0	1968	1796	98	2835	2240	3254	5469	2277	969	515	0	183
"ASV9"	0	9	0	0	0	0	0	0	155	104	32	27	957	10	298	7483	269	1833	381	52	7	145	28	5	13	1215	1516	13450	15840	23	94	0	0	0	0	33	2644	5616	62	7	1321	0	0	0	35	212	109	4416	138	101	142	199	143	9	125	15	280	302	961	134	27	92	11	7943	178	742	741	188	30	297	98	32	1100	1405	18	18588	0	362	11	93	13494	45	166	2195	227	123	5	0	114	52	2305	693	1498
"ASV10"	10	0	0	9	0	0	146	2442	1678	1191	1199	1807	270	1919	1250	280	901	270	23	2058	1708	1533	727	1248	1397	114	282	485	289	1619	2635	1673	1725	1490	3174	41	405	568	147	773	379	938	1224	2339	1043	1094	1508	197	393	926	456	1584	1594	1458	1015	2133	42	789	278	1100	1430	1099	1819	194	799	294	293	566	1993	1281	1152	1600	155	275	2319	335	2826	27	2798	1251	246	1505	1455	562	1109	2101	2421	4717	1512	1417	859	43	417
