Date,GMT,EDT,Predicted,Verified,Sample,meters
2017-07-22,4:00,0:00,0.721,0.83,NA,0.254
2017-07-22,4:06,0:06,0.706,0.82,NA,0.25
2017-07-22,4:12,0:12,0.692,0.81,NA,0.247
2017-07-22,4:18,0:18,0.677,0.78,NA,0.238
2017-07-22,4:24,0:24,0.663,0.75,NA,0.227
2017-07-22,4:30,0:30,0.649,0.73,NA,0.222
2017-07-22,4:36,0:36,0.635,0.72,NA,0.22
2017-07-22,4:42,0:42,0.621,0.72,NA,0.218
2017-07-22,4:48,0:48,0.608,0.72,NA,0.22
2017-07-22,4:54,0:54,0.595,0.72,NA,0.22
2017-07-22,5:00,1:00,0.582,0.7,NA,0.213
2017-07-22,5:06,1:06,0.569,0.65,NA,0.198
2017-07-22,5:12,1:12,0.557,0.65,NA,0.197
2017-07-22,5:18,1:18,0.545,0.63,NA,0.193
2017-07-22,5:24,1:24,0.534,0.63,NA,0.193
2017-07-22,5:30,1:30,0.522,0.61,NA,0.185
2017-07-22,5:36,1:36,0.511,0.62,NA,0.19
2017-07-22,5:42,1:42,0.501,0.59,NA,0.181
2017-07-22,5:48,1:48,0.491,0.55,NA,0.167
2017-07-22,5:54,1:54,0.481,0.57,NA,0.173
2017-07-22,6:00,2:00,0.471,0.55,NA,0.168
2017-07-22,6:06,2:06,0.462,0.52,NA,0.158
2017-07-22,6:12,2:12,0.453,0.52,NA,0.158
2017-07-22,6:18,2:18,0.444,0.53,NA,0.161
2017-07-22,6:24,2:24,0.436,0.51,NA,0.155
2017-07-22,6:30,2:30,0.428,0.51,NA,0.154
2017-07-22,6:36,2:36,0.42,0.49,NA,0.15
2017-07-22,6:42,2:42,0.412,0.5,NA,0.151
2017-07-22,6:48,2:48,0.405,0.48,NA,0.145
2017-07-22,6:54,2:54,0.398,0.48,NA,0.145
2017-07-22,7:00,3:00,0.392,0.46,NA,0.139
2017-07-22,7:06,3:06,0.385,0.48,NA,0.145
2017-07-22,7:12,3:12,0.379,0.44,NA,0.134
2017-07-22,7:18,3:18,0.373,0.44,NA,0.135
2017-07-22,7:24,3:24,0.368,0.45,NA,0.138
2017-07-22,7:30,3:30,0.363,0.46,NA,0.14
2017-07-22,7:36,3:36,0.358,0.42,NA,0.128
2017-07-22,7:42,3:42,0.353,0.45,NA,0.136
2017-07-22,7:48,3:48,0.349,0.41,NA,0.126
2017-07-22,7:54,3:54,0.344,0.42,NA,0.127
2017-07-22,8:00,4:00,0.34,0.46,NA,0.141
2017-07-22,8:06,4:06,0.337,0.44,NA,0.134
2017-07-22,8:12,4:12,0.333,0.42,NA,0.128
2017-07-22,8:18,4:18,0.33,0.44,NA,0.133
2017-07-22,8:24,4:24,0.327,0.44,NA,0.134
2017-07-22,8:30,4:30,0.324,0.41,NA,0.126
2017-07-22,8:36,4:36,0.321,0.41,NA,0.125
2017-07-22,8:42,4:42,0.319,0.41,NA,0.126
2017-07-22,8:48,4:48,0.317,0.39,NA,0.12
2017-07-22,8:54,4:54,0.314,0.35,NA,0.108
2017-07-22,9:00,5:00,0.312,0.43,NA,0.131
2017-07-22,9:06,5:06,0.31,0.42,NA,0.127
2017-07-22,9:12,5:12,0.308,0.38,NA,0.115
2017-07-22,9:18,5:18,0.306,0.39,NA,0.118
2017-07-22,9:24,5:24,0.304,0.39,NA,0.119
2017-07-22,9:30,5:30,0.302,0.39,NA,0.118
2017-07-22,9:36,5:36,0.3,0.38,NA,0.115
2017-07-22,9:42,5:42,0.297,0.36,NA,0.109
2017-07-22,9:48,5:48,0.295,0.39,NA,0.119
