	site	biome	time	date	sitedepth	daynight	tidenumber	sequence	moonphase	tide	timefromtide	lat	lon	precip	offshoreseastate	weather	temp	salinity	doc	tn	po4	no2no3	silicate	no2	nh4	pro	syn	peuk	hbact	algae	cyan	HC	other	PV	rub	sand	SC	sponge	sealevel	sealevel_m
Control-1	DNAcontrol	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Control-2	DNAcontrol	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Control-3	DNAcontrol	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Mock-E	mock	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Mock-S	mock	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Negative-H2O	PCRnegative	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Positive-33	N Atl seawater	eutrophic	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
USVItide-10	Yawzi Reef	reef	12:35	2017-07-22	11.4	day	1-Low	1	new	Low	14	18.3145005	-64.7260978	none	1.1	partly cloudy	29	34.86	69.02	6.17	0.166	0.02	2.6	0.03	0.12	152803	6441	1111	920602	0.278333333	0.001666667	0.166666667	0.018333333	0.37	0.055	0.04	0.033333333	0.036666667	-0.12	-0.038
USVItide-108	Yawzi Reef	reef	22:20	2017-07-23	11.4	night	7-High	7	new	High	13	18.3145005	-64.7260978	none	1.1	fair	29.1	34.97	67.82	0	0.199	0.1	2.5	0.04	0.11	140358	91603	2672	890367	0.278333333	0.001666667	0.166666667	0.018333333	0.37	0.055	0.04	0.033333333	0.036666667	1.31	0.4
USVItide-109	Lameshur Seagrass	seagrass	22:04	2017-07-23	4.73	night	7-High	7	new	High	3	18.3177881	-64.7232301	none	1.1	fair	29.2	34.96	75.38	5.26	0.187	0.05	2.7	0.05	0.16	138038	95963	2869	917592	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.32	0.401
USVItide-11	Cocoloba Reef	reef	12:43	2017-07-22	5.2	day	1-Low	1	new	Low	6	18.3154146	-64.7608498	none	1.1	partly cloudy	29.07	35.05	46.82	0	0.182	0.16	1.8	0.04	0.18	84895	11658	1603	556945	0.393333333	0.001666667	0.031666667	0.003333333	0.215	0.01	0.3	0.038333333	0.006666667	-0.11	-0.034
USVItide-110	Cocoloba Reef	reef	22:30	2017-07-23	6.77	night	7-High	7	new	High	23	18.3154146	-64.7608498	none	1.1	fair	29.02	34.98	78.59	1.57	0.182	0.16	2.2	0.06	0.09	84248	47714	2236	651966	0.393333333	0.001666667	0.031666667	0.003333333	0.215	0.01	0.3	0.038333333	0.006666667	1.29	0.392
USVItide-111	Fish Bay Seagrass	seagrass	22:40	2017-07-23	2.1	night	7-High	7	new	High	33	18.3204429	-64.7633988	none	1.1	fair	30.3	35.35	47.93	0	0.185	0.03	2.6	0.05	0.23	24652	75263	2644	1136911	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.31	0.398
USVItide-112	Tektite Reef	reef	22:08	2017-07-23	11.36	night	7-High	7	new	High	1	18.3096396	-64.7222252	none	1.1	fair	28.94	34.94	74.08	11.67	0.171	0.13	2.3	0.05	0.09	104780	49964	2616	708848	0.468333333	0.035	0.275	0.016666667	0.07	0.025	0.063333333	0.036666667	0.01	1.32	0.401
USVItide-113	"Lameshur Mangrove, outlet"	mangrove	21:40	2017-07-23	1.1	night	7-High	7	new	High	27	18.3185583	-64.7242358	none	1.1	fair	29.29	34.76	77.13	6.52	0.222	0.44	2.4	0.08	0.6	72675	58317	3220	724556	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.31	0.398
USVItide-114	"Lameshur Mangrove, inland"	mangrove	21:30	2017-07-23	0.3	night	7-High	7	new	High	37	18.3202416	-64.7247868	none	1.1	fair	29.04	36.34	87.29	0	0.258	0.51	3.8	0.16	1.65	76402	43988	5597	1968750	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.29	0.393
USVItide-115	Ditliff Reef	reef	22:35	2017-07-23	6.64	night	7-High	7	new	High	28	18.3139204	-64.7645268	none	1.1	fair	29.47	34.97	42.76	3.65	0.168	0.27	1.9	0.07	0.09	41091	53156	2250	723544	0.308333333	0	0.125	0.021666667	0.178333333	0.098333333	0.216666667	0.043333333	0.008333333	1.33	0.368
USVItide-116	Fish Bay Mangrove	mangrove	22:45	2017-07-23	0.7	night	7-High	7	new	High	38	18.3206508	-64.7621709	none	1.1	fair	30.43	35.56	99.62	6.7	0.261	0.1	2.2	0.12	0.56	0	42188	2039	1828125	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.31	0.395
USVItide-12	Fish Bay Mangrove	mangrove	13:00	2017-07-22	0.5	day	1-Low	1	new	Low	11	18.3206508	-64.7621709	none	1.1	partly cloudy	31.97	37.11	319.56	16.64	0.387	0.02	6.8	0.1	0.59	0	1575	2391	3937500	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.14	-0.042
USVItide-125	Cocoloba Reef	reef	6:24	2017-07-24	6.64	day	8-Ebb	8	new	Ebb	6	18.3154146	-64.7608498	none	1.6	partly cloudy	28.87	34.52	40.36	0	0.168	0.22	2.2	0.06	0.1	109645	24947	1730	695855	0.393333333	0.001666667	0.031666667	0.003333333	0.215	0.01	0.3	0.038333333	0.006666667	0.5	0.152
